岗位名称,工作地点,职位类型,招聘人数,工作职责,工作要求
15760-游戏测试开发工程师（上海）,上海,技术类,2人,"['负责设计开发游戏业务测试相关的测试框架、测试工具与测试组件；', '负责网络游戏前后台程序性能分析、白盒测试等专项测试；', '负责网络游戏自动化测试相关工作。']","['具备扎实的计算机基础，精通常用算法和结构；', '精通C/C++，熟悉多进程编程和进程间通讯，熟悉linux网络开发；', '熟悉移动游戏或端游各种专项测试优先；', '熟悉tcp/ip协议，熟悉mysql或其他大型数据库，熟悉shell/Python/Perl脚本语言优先；', '责任心强，良好的沟通能力和团队协作能力；', '本科以上学历，至少2年开发或测试开发经验。']"
SA-腾讯社交广告算法工程师（研发中心 北京）,北京,技术类,3人,"['腾讯社交广告系统后台质量研发，偏重算法策略研究、设计与实现，参加以下一到多项工作：', '用户画像建模 && 广告精准定向技术；', '广告排序算法 && 策略优化；', '广告转化率预估 && 转化策略优化;', '广告素材(文本和图片)语义特征挖掘；', '广告用户体验优化；', '广告 A/B Test 实验系统；', '大规模并行机器学习系统建设。']","['本科及以上学历，硕士、博士优先，2年以上相关工作经验；', '具备扎实的数据结构和算法功底，编码强悍；', '熟悉 Linux 开发环境，精通 C/C++，熟悉 Python、Java 更好；', '具有扎实的数据结构和算法功底； 熟练使用 C/C++ || Python || Java || Scala；', '数据挖掘 || 自然语言处理 || 机器学习；', '有海量数据处理经验，熟悉 Hadoop || Storm || Spark；', '有广告、搜索引擎、推荐系统相关技术经验者优先；', '较强学习能力 && 逻辑思维能力 && 具备良好的问题分析与解决能力；', '善于沟通，工作积极主动，责任心强，具备良好的团队协作能力。']"
MIG09-NLP算法高级工程师,深圳,技术类,2人,"['1. 负责 query 分析，包括不限于分类、合并、关键词提取、歧义消解、同义词库、相关词库建设', '2. 负责语义理解能力的建设，识别用户 query 背后的意图并给出 query 与 doc/资源的语义相关性计算', '3. 联想词能力建设', '4. 使用 CNN、DNN 等业界新方法提升现有 NLP 相关能力', '5. 负责相关人才培养']","['1. 计算机或相关专业本科及以上学历，3 年以上工作经验（2 年以上自然语言处理工作），具备丰富的机器学习算法实践经验', '2. 熟悉 C++、Java、Scala、Python 等一门或多门编程语言', '3. 要求有机器学习/数据挖掘/信息检索/深度学习/神经网络实践经验', '4. 有智能助手、对话系统建设经验者优先', '5. 良好的逻辑思维能力和数据敏感度，能从海量数据中发现有价值的规律', '6. 能够阅读英文技术文档和论文，具有良好的自学能力', '7. 有很强的技术选型及规划能力、较好的沟通能力、积极主动，愿意接受挑战，抗压能力强']"
15851-后台开发工程师,深圳,技术类,1人,"['1. 负责MMORPG游戏交易监控系统开发、维护；', '2. 根据系统搭建文档，开发对接服务侧、游戏侧的工单管理平台P-SAP的工单接口；', '3. 深度挖掘游戏运营数据，根据脚本策划文档搭建数据监控体系；', '4. 利用爬虫技术，对游戏外第三方交易平台形成有效监控体系；', '5. 根据策划文档，搭建、完善并持续跟进脚本监控-打击体系；', '6. 配合运营人员，持续挖掘新型违规交易模式，并跟进迭代打击。']","['1. 本科及以上学历，3年以上工作经验；', '2. 优秀的Python开发能力、数据建模能力，熟悉数据挖掘算法优先；', '4. 与运营侧形成有效合作，开发监控系统、脚本上线，对质量负责；', '5. 对游戏内违规交易行为有清晰了解，具有逻辑理解能力；', '6. 对工作室、交易平台的违规交易行为有深入了解；', '7. 深度接触一款以上具有开放式交易经济系统的MMORPG游戏优先。']"
15851-后台开发工程师,深圳,技术类,1人,"['1. 负责MMORPG游戏交易监控系统开发、维护；', '2. 根据系统搭建文档，开发对接服务侧、游戏侧的工单管理平台P-SAP的工单接口；', '3. 深度挖掘游戏运营数据，根据脚本策划文档搭建数据监控体系；', '4. 利用爬虫技术，对游戏外第三方交易平台形成有效监控体系；', '5. 根据策划文档，搭建、完善并持续跟进脚本监控-打击体系；', '6. 配合运营人员，持续挖掘新型违规交易模式，并跟进迭代打击。']","['1. 本科及以上学历，2年以上工作经验；', '2. 优秀的Python开发能力、数据建模能力，熟悉数据挖掘算法优先；', '4. 与运营侧形成有效合作，开发监控系统、脚本上线，对质量负责；', '5. 对游戏内违规交易行为有清晰了解，具有逻辑理解能力；', '6. 对工作室、交易平台的违规交易行为有深入了解；', '7. 深度接触一款以上具有开放式交易经济系统的MMORPG游戏优先。']"
OMG236-腾讯视频搜索排序工程师(深圳),深圳,技术类,1人,"['负责视频搜索产品中的离线及在线打分研发和持续优化； ', '挖掘不同特征维度，并能通过大数据工具平台进行模型检验和线上测试；', '基于大规模用户行为及其他海量数据，优化已有搜索排序基础算法及策略；', '和业务团队深入合作，通过算法解决产品运营中持续变化的诉求，提升用户体验；', '引入和运用机器学习等技术新成果，升级搜索算法核心，提升搜索结果的质量。']","['熟悉搜索引擎系统的架构，具备3年以上搜索或推荐类产品后台的算法研发经验；', '了解常用排序、特征提取分析等领域算法，理解算法思想，并有实际应用经验；', '具备较好的数学背景，熟悉机器学习原理与算法；', '有数据统计分析、新闻或资料等的分类、聚集等成熟经验；', '熟悉hadoop、spark等大数据分析平台；', '熟悉linux平台，精通c++，熟悉python，具有良好的编程习惯和算法基础；', '有LTR(Learning to Rank)、大规模并行化机器学习研发经历优先；', '了解相关领域的最新进展，能够将前沿方法引入到工作中不断提升效果。']"
OMG236-腾讯视频搜索数据模型高级工程师(北京),北京,技术类,1人,"['负责建设和聚集腾讯视频相关日志和数据，挖掘提取显性和隐性特征；', '熟练应用机器学习技术， 根据视频业务逻辑，进行基础算法和模型的建设；', '为海量数据建模提供大规模分布式的计算解决方案；']","['五年以上大规模数据挖掘相关工作经验；', '精通机器学习算法及其原理，对算法特点有深刻理解，能快速制定算法实现方案和进行业务算法创新；', '熟悉c++/java/python等一门以上编程语言，对算法有较强的实现能力；', '具备优秀的分析和解决问题的能力，良好的沟通和学习能力。']"
MIG06-应用宝数据挖掘算法工程师（深圳）,深圳,技术类,1人,"['1、负责应用宝用户画像相关的数据挖掘工作，通过模型算法和海量行为数据挖掘用户兴趣标签，需求图谱等。', '2、负责应用宝用户画像在特定推荐场景的应用和算法优化。', '3、负责应用宝数据集市建设工作，包括中间表的设计和海量计算效率的优化等。']","['1、熟练掌握常用的机器学习算法（包括LR、GBDT、RF、SVM等），有三年以上机器学习相关算法工作经验；有深度学习项目经验者优先。', '2、熟悉大数据平台，并且有两年以上hadoop相关工作经验，熟悉saprk者优先。', '3、熟练掌握数据库的相关操作，熟悉HIVE SQL，有数据存储优化经验者优先。 ', '4、熟悉linux开发环境，熟练掌握shell、python等脚本变成语言，有scala开发经验者优先。', '5、本科及以上学历，硕博士优先，计算机、数学、通信相关专业。', '6、对大数据感兴趣，对新技术有好奇心，有用户兴趣挖掘经验者优先。', '、具备良好的逻辑分析能力、组织沟通能力和团队精神，乐于分享、勇于承担。']"
25663-智慧零售行业企业架构师（北京/上海/深圳/成都）,成都,技术类,3人,"['1、熟悉快消零售行业业务，并能对零售快消业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；', '2、能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；', '3、确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；', '4、了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。']","['1、有3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；', '2、有成功的传统企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力，有过零售行业ERP、POS、CRM系统建设经验优先；', '3、熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案。', '4、熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；', '5、具备团队合作经验，学习能力强，抗压能力强；', '6、具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档', '7、有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先', '8、有PMP认证优先。']"
WXG06-116 微信支付测试开发工程师（深圳）,深圳,技术类,2人,"['负责研发基础设施及自测工具/平台的设计、开发及维护；', '负责SOA治理项目的落地；', '负责自动化测试的能力提升，用例覆盖度提高，以及配套平台和特性的开发支持。']","['本科及以上学历，计算机软件、通信、电子相关专业；', '3年以上软件开发／测试开发／运维开发经验，能独立完成需求分析、方案设计及编码工作；', '熟悉linux系统使用，熟练掌握python/shell脚本语言，有C/C++编程基础；', '对常用数据结构和算法，数据库操作，进程间通信，网络协议等有较好掌握；', '熟悉抓包工具等业界常用的一些测试辅助工具；', '有自动化以及持续集成相关的建设经验和熟悉相关方法论；', '具备良好的文档能力及沟通能力，快速学习能力及独立解决问题的问题。']"
