岗位名称,工作地点,职位类型,招聘人数,工作职责,工作要求
22989-腾讯云行业架构师（成都）,成都,技术类,2人,"['熟悉传统行业业务（制造业、零售、快销等），并能对传统业务架构组成进行需求分析，同时能针对云计算产品规划出云解决方案，针对云上架构进行优化设计；', '能从网络、服务器、数据中心等不同层面设计传统企业上云的服务架构，能提供IaaS/SaaS/PaaS/DaaS不同层级的解决方案；', '确保重点项目的拆解和落地，推进项目实施以及解决方案可复制，推动跨部门合作，推动架构和产品优化；', '了解行业技术发展变革方向，能针对云服务特点在行业解决方案上有前瞻性布局。']","['有3年以上服务端开发、运维经验，熟悉Java/Scala/Python/PHP/C/C++至少一种开发语言以及对应开发框架，熟悉高并发处理机制，有海量业务的架构、研发、运维、优化经验；', '有成功的传统企业系统的大型应用经验，有面向客户沟通交流、调研需求、宣讲架构的能力，物联网经验优先；', '熟悉Hadoop、Mysql、PostgreSQL、NoSQL、Oracle、Teradata、DB2等数据库中至少一种数据中心建设方案，可以进行产品的独立部署、高可用架构和性能优化，熟悉开源社区解决方案；', '熟悉网络架构、虚拟化、分布式存储，深入理解IT基础设施领域，如服务器、网络设备的技术和架构，有IT交付经验优先；', '具备团队合作经验，学习能力强，抗压能力强；', '具备良好的文档能力，善于总结沟通，清晰表达技术观点和架构意图，能熟练的编写技术文档；', '有一定的项目管理经验，能进行需求管理、期望管理、团队协作管理，有和ISV管理合作经验优先；', '有PMP认证优先。']"
SNG07-云测试高级工程师（成都）,成都,技术类,2人,"['负责腾讯云平台产品的测试工作，参与需求分析、设计评审，制定测试计划，设计和执行测试用例，进行缺陷跟踪和软件质量分析，保障和提升软件质量；', '对云平台产品进行自动化测试以及必要的测试工具开发。']","['计算机本科及以上相关专业3年以上工作经验，有后台中间件测试经验者优先考虑；', '熟练掌握C/C++/Java等至少一种编程语言，对PHP/Python/Shell/Perl等至少一门脚本语言有丰富实践经历；', '对云服务、虚拟化、存储、数据库、大数据、网络等有深刻架构理解和测试经验；', '对Linux/Unix操作系统、TCP/IP网络协议、NoSQL、Mysql等关系数据库都有比较深入的理解和实践经验；', '具备自动化测试经验，深刻理解自动化平台和持续集成体系建设者优先；', '有丰富性能、协议或白盒测试经验者优先；', '具备良好的团队合作精神，善于协调沟通，具备较高的问题推动解决能力；', '有不错的工作抗压能力，富有激情，责任心强，做事客观公正。']"
17520-手游后台开发工程师(深圳）,深圳,技术类,2人,"['负责游戏服务器端设计及开发；', '与前台开发以及策划设计人员进行良好的沟通，高效的与前台开发合作设计编码和调试；', '熟练和冷静的应对运营中的突发事件，严格按照运营流程处理事务。']","['本科及以上学历，计算机相关专业；', '具备Unix/Linux下C/C++ 3年以上开发经验；', '精通TCP/IP协议，进程间通讯编程，熟悉Unix/Linux下常用架构设计方法；', '精通C++和面向对象的设计与开发；', '熟悉Unix/Linux操作系统原理，常用工具、Python/Shell等脚本语言等；', '全面的软件知识结构(操作系统、软件工程、设计模式、数据结构、数据库系统、网络安全)；', '具备良好的分析解决问题能力，能独立承担任务和有系统进度把控能力；', '责任心强，良好的对外沟通和团队协作能力，主动，好学。']"
WXG06-122 微信支付商户数据挖掘工程师（深圳）,深圳,技术类,1人,"['负责对微信支付商户特征的分析建模；', '负责对微信支付用户特征的分析建模。']","['3年以上数据分析、数据挖掘相关工作经验；', '熟悉常用的数据聚类、分类、回归、异常检测、深度学习等机器学习算法；', '熟悉数理统计、数据分析及挖掘常用算法；', '熟悉hadoop,spark，有大规模数据处理经验；', '掌握C&C++ 或 Python 语言，具备模型应用实际开发动手能力；', '有金融、电商等相关行业背景知识优先。']"
WXG06-111 微信支付数据分析工程师（深圳）,深圳,技术类,2人,"['挖掘用户属性、支付习惯、消费特征和个人偏好，建立用户画像标签库； ', '挖掘商户的用户特征、行业特征和经营模式特征，建立商户画像标签库；', '负责微信支付创新类产品的数据分析挖掘，建立基于海量数据的数据运营分析体系。']","['计算机相关专业，1年及以上相关工作经验，有计算机与数理统计相关基础；', '熟悉hadoop、spark等分布式计算平台，有大规模数据处理和数据分析挖掘经验；', '熟悉SQL、Scala、Python、Java、C++等其中的至少二种以上编程语言，能实际动手开发；', '有技术追求，有较强的上进心和求知欲，自驱力强，善于学习、总结归纳和项目实践应用，有较强的数据敏感度；', '善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识', '具有金融/风控/信用等项目背景者优先。']"
SNG01-QQ-自然语言处理专家（深圳）,深圳,技术类,1人,"['负责QQ中文本相关场景（如QQ聊天）的算法研究及应用；', '根据实际应用效果不断改进模型或算法；', '跟踪业界最新研究成果，并应用到实际产品中，不断提升算法性能。']","['5年以上NLP研究（含博士及博士后阶段）或相关领域的经验，具有句法语义分析、信息提取、问答系统等相关知识；', '熟练掌握 C/C++ 编程，或熟悉Python编程；', '发表过ACL、SIGIR等论文者优先；', '扎实的数学、数据结构基础，优秀的英文阅读能力，沟通交流能力强，工作积极主动，良好的团队协作能力。']"
SNG01-QQ-图像处理专家（深圳）,深圳,技术类,1人,"['负责QQ图像视频等的内容优化及增强，智能根据不同的场景使用不同的处理方案，使用的方法包括传统方法或深度学习方法； ', '负责推动研究进展在实际场景的落地及根据用户行为不断优化；', '跟踪业界最新研究进展，并应用到实际产品中。']","['5年以上图像处理相关领域相关研究或工作经验；', '熟练掌握 C/C++ 编程，或熟悉Python编程；', '有图像分类、语义分割经验者优先；', '发表过CVPR、SIGGRAPH等论文者优先；', '扎实的数学、数据结构基础，优秀的英文阅读能力，沟通交流能力强，工作积极主动，良好的团队协作能力。']"
TEG13-视觉算法工程师（深圳）,深圳,技术类,1人,"['搭建基于图像特征/CNN的图像/视频中的文字信息检测模型并优化；', '搭建基于CNN/LSTM的中文、英文等多语种OCR识别模型并优化；', '模型压缩及优化，提高算法速度，性能；', '追踪前沿的文字检测/识别技术并复现，优化。']","['硕士或以上学历，信号处理、计算机、电子信息、自动化、模式识别等相关专业；', '2年以上计算机视觉领域相关工作经验，图像检测/识别，视频分析/目标追踪领域有深入的了解；熟悉经典的机器学习、深度学习算法并有实践经验，包括LR、SVM、GBDT、DNN、LSTM等；对算法优化有一定经验，有效提升准确率；', '精通至少一个主流深度学习工具包（caffe，Tensorflow, mxnet，pyTorch）；', '精通 C/C++, 编程能力强；熟悉 Linux 环境开发；', '熟悉一门脚本语言（Perl, Python, Ruby）；', '熟练CUDA编程，多GPU并行计算者优先；', '在国际顶级会议期刊上发表过成果者优先；', '良好的沟通能力与团队协作精神。']"
SNG11-QQ业务高级技术运营工程师（深圳）,深圳,技术类,1人,"['负责QQ等业务的业务运维工作；', '负责业务支撑系统的开发与维护。']","['计算机相关专业本科及以上学历，3年以上开发工作经验；', '熟悉Unix/Linux操作系统、计算机网络；', '熟悉Unix/Linux操作系统下的C/C++/Python开发；', '熟悉Web前端开发技术，HTML5/CSS3/JavaScript等；', '具备良好的分析解决问题能力，有良好的团队合作能力，善于沟通；', '有大型网管系统或者互联网运营平台开发和架构经验者优先。']"
SNG11-视频云高级业务运维工程师（深圳）,深圳,技术类,1人,"['负责视频云直播相关产品的后台运营规划、架构优化、成本优化、高可用运维等技术运营工作；', '把握趋势，在业务向移动化、云化发展的同时，对运维系统提出新时代建设要求，吸收业界先进技术，帮助业务稳定健壮的发展。']","['计算机或相关专业本科或以上学历；', '熟练使用Linux/unix操作系统，精通Shell编程，并熟练掌握Perl、PHP、Python之一的编程，熟悉TCP/IP、HTTP等协议，有良好的网络、存储、安全、计算机体系结构方面的知识；', '有linux系统调优经验者优先；', '有服务器集群的管理经验；', '具备视频维护经验优先考虑；', '熟悉CDN服务经验者优先；', '熟悉互联网产品基本架构，有互联网产品研发或运维经验者优先考虑；', '工作细致、善于思考，有很强的数据分析和问题解决能力；', '强烈的责任心、良好的沟通和协调能力。']"
MIG03-高级智能创新产品测试开发工程师,深圳,技术类,1人,"['负责VR、微桌面等创新业务的测试及测试开发工作。', '分析系统相关的需求、设计、架构等，制订相应的测试策略和测试计划，从全流程的角度，设计相应的测试方法，达成项目质量目标；', '跟进建设自动化测试和性能测试，并组织实施，在保障系统的正确性、安全性、健壮性下，为团队探索和引进行业相关测试技术和理念，帮助团队在质量和效率上的提升。', '能推动开发团队开展CR、UT等质量保障工作，提升产品的提测质量。']","['计算机相关专业本科以上学历，三年以上软件测试、测试开发或开发经验，精通软件开发或测试理论和方法；', '有终端产品开发或测试经验，对需求的理解深入，能够参与项目的架构设计评估，并根据项目特点制定测试方案，设计高效的测试方法、测试用例并执行；', '编程基础扎实，熟悉算法数据结构，具有一定C++或java或Python开发或测试开发经验；', '具备良好的沟通协调和团队协作能力，和优秀的发现问题、分析问题、解决问题的能力，有强烈的责任心和积极主动的工作态度；', '对VR、AI等新领域有强烈兴趣，', '具有单元测试经验者优先。']"
22989-腾讯云安全运维工程师（深圳）,深圳,技术类,1人,"['1、负责云安全相关产品（主要为网络安全、主机安全等）的日常运维;', '2、对云安全相关运营系统进行规划完善；', '3、管理并推动安全运营相关项目落地；', '4、开发工具，对接平台接口，参与平台工具脚本的编写。']","['1. 3年以上运维开发或者运维平台建设经验；', '2. 有安全相关行业工作经验；', '3. 具备良好的沟通能力与项目管理能力；', '4. 熟悉多种开源组件：KVM、Nginx、tomcat、Jenkins、Git、Maven、Memcached、Redis、Mysql/SQL等；', '5. 熟悉Linux系统管理维护，熟悉HTTP协议、TCP/IP网络协议；', '6. 熟悉shell脚本语言，以及Python开发语言；', '7. 具备良好的合作精神和快速学习能力；', '8. 有云平台运维经验者优先（阿里云、AWS等）', '9、熟悉各种运维开源运维系统以及开源监控系统的优先', '10、有互联网安全运维工作经验者优先。']"
22989-腾讯云运维交付工程师（深圳）,深圳,技术类,1人,"['1、负责私有云产品持续集成交付系统设计、开发、持续优化（部署安装调试、工具开发、平台实际落地）', '2、能够完成面向客户的技术交流、方案编写，并能提供解决方案及技术建议方案；', '3、对新技术热情，对开源热情，能够整合开源技术提高交付效率。']","['1. 2年以上运维开发或者运维平台建设经验', '2. 熟悉多种开源组件：KVM、Nginx、tomcat、Jenkins、Git、Maven、Memcached、Redis、Mysql/SQL等；', '3. 熟悉Linux系统管理维护，熟悉HTTP协议、TCP/IP网络协议；', '4. 熟悉shell脚本语言，以及Python开发语言；', '5. 具备良好的合作精神和快速学习能力；', '6. 有云平台运维经验者优先（阿里云、AWS 等）、有持续集成及持续部署经验者优先、有日志管理经验者优先、熟悉 openstack/kubernate/mesos/spinnaker技术者优先、有ansible开发经验者优先', '7、熟悉各种运维开源运维系统以及开源监控系统的优先', '8、有互联网运维工作经验者优先。']"
WXG01-122 微信数据科学家,广州,技术类,1人,"['分析业务基础数据和用户行为数据，从中发现问题、研究问题并探索解决方案；', '设计AB测试实验方案以验证问题和分析结果，并将实验分析结果转化为可行的产品和运营策略；', '探索产品生命周期、产品健康指数、产品增长机会等；', '挖掘用户行为，并建立用户行为属性标签、特定用户群模型、用户社交关系网络模型等；', '支持和增强业务的数据分析和数据决策能力；']","['硕士以上学历，计算机科学、信息科学、人机交互、统计学、应用数学等领域专业；', '4年以上数据分析工作经验；', '4年以上为产品、运营或其他部门提供分析性洞察和报告的经验；', '有系统化搭建用户行为数据指标和用户知识图谱的经验；', '有设计和分析AB 测试实验的经验；', '熟练掌握SQL或其他数据库语言；', '熟练使用R、SAS等工具进行数据处理和数据建模；', '熟练使用Python、C/C++或Java等编程语言；', '有较强的数据洞察力、逻辑思维能力和分析总结能力；', '有良好的团队沟通和团队协作能力；', '符合以下条件优先：', '博士以上学历；', '有Hive、Hadoop、Spark等平台的海量数据处理经验；', '有社交领域数据驱动或增长黑客经验；']"
WXG01-122 微信数据挖掘工程师（广州）,广州,技术类,2人,"['挖掘用户在不同功能场景下的行为特征，并建立用户行为属性标签库；', '挖掘用户属性、喜好和情感，并建立完整的用户画像标签库；', '挖掘用户社交关系链，并建立社交传播网络模型和用户社群模型；', '建立用户个性化推荐系统；', '建立产品和用户健康度评估系统。']","['硕士以上学历，计算机科学、信息科学、机器学习等领域专业；', '4年以上大规模数据挖掘、机器学习或自然语言处理的工作经验；', '熟悉分类、回归、聚类、深度学习等常见的机器学习算法及原理，具有模型应用和调优的能力；', '精通Python、C/C++、Java等编程语言进行数据挖掘；', '精通R、SAS等工具进行数据处理和数据建模；', '有良好的团队沟通和团队协作能力；', '符合以下条件优先：', '博士以上学历；', '有Hive、Hadoop、Spark等平台的海量数据挖掘经验；', '有用户行为相关的数据挖掘经验；']"
WXG08-122 微信数据挖掘算法工程师（广州，北京）,广州,技术类,1人,"['负责用户兴趣标签的提取挖掘；', '负责用户的人群挖掘和协同挖掘；', '负责第三方用户行为分析和画像挖掘；', '负责公众号、资讯文章基础属性的挖掘； ', '负责海量数据挖掘算法的研究和应用。']","['计算机、数学、统计等相关专业本科及以上学历；', '三年以上大规模数据挖掘、机器学习或自然语言处理相关工作经验；', '三年以上搜索、推荐或广告系统相关算法工作经验；', '符合以下一项或多项更优：', '熟悉聚类、分类、回归、图模型等机器学习算法及原理；', '具有深度神经网络DNN理论基础及实战经验；', '熟悉自然语言处理，文本挖掘的算法原理，有实际建模经验或并行化经验；', '熟悉C/C++、python、Java等编程语言与工具（一项或多项）；', '熟悉Linux/Unix平台上的开发环境；', '熟悉MPI、MapReduce、Spark等并行计算框架。']"
18428-金融应用高级运维工程师（深圳）,深圳,技术类,2人,"['负责金融应用的运维和规划，包括日常运营、成本分析、架构优化等工作；', '通过技术手段、流程制度、容灾演练等措施，推动系统架构的健壮性，保障运营质量；', '结合实际情况，规划和建设运维工具平台，提升运营效率；']","['本科及以上学历，计算机或相关专业；', '3年以上Linux运维工作经验，并有100台以上Linux服务器运维经验；', '熟悉大型Web系统架构，以及相关应用的部署调优，包括：Web服务器、负载均衡、消息队列、数据库、高可用解决方案等；', '精通Python、Shell或其他编程语言，有C、Java或PHP开发经验者优先；', '了解行业内新技术、新产品的发展方向，善于学习，有较好的技术敏感度；', '责任感强，有较强的逻辑思维能力、沟通能力、项目管理及推动能力。']"
MIG16-腾讯地图自然语言处理高级工程师(北京),北京,技术类,1人,"['负责腾讯POI搜索服务查询处理模块的研发工作，包括query意图识别、query纠错、query改写等；', '负责自然语言处理基础工具的研发工作，包括分词、实体识别等。']","['本科以上学历,2年以上工作经历,计算机、应用数学、自动化、电子等相关专业;', '熟练掌握C和C++编程,熟悉Linux下Shell或Python编程,熟悉CMake,GDB等工具;', '扎实的数学基础,良好的数学建模能力和英文论文阅读能力;', '2-3年自然语言处理、机器学习等相关工作经验;熟练掌握各种自然语言处理相关的机器学习模型,包括HMM、CRF等优先考虑:', '了解深度学习理论,有实际经验优先。']"
HY1-用户画像大数据分析工程师（深圳）,深圳,技术类,1人,"['基于腾讯游戏海量用户以及用户游戏行为，建设基于游戏标签的用户画像；', '建设支持海量数据分析挖掘，机器学习与决策支持的系统，为游戏安全产品特性提供数据支持。']","['计算机或相关专业本科及以上学历，1年以上相关工作经验；', '责任感强，有较强的学习能力，逻辑思维能力，沟通能力，团队合作能力以及抗压能力；', '有较高的数据敏感性，熟悉常见机器学习算法；', '有linux使用经验，能够熟练使用python进行海量数据分析；', '熟悉深度学习理论，并有相关工作经验和成功实践经验者优先。']"
